text,doctor
"""           Gout       Open pop-up dialog box          Close     Gout   Gout Gout causes intense pain and swelling around one or more joints. Gout most",General Physician
"""back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance""",General Physician
"""           Epididymitis       Open pop-up dialog box           Close    Epididymitis   Epididymitis Epididymitis is an inflammation of the coiled tube",General Physician
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""I've been feeling really sick lately. I've had a fever, chills, fatigue, a cough",General Physician
"""The most common symptom of pneumonitis is shortness of breath",General Physician
"""           Petechiae       Open pop-up dialog box           Close    Petechiae   Petechiae Petechiae may look like a rash and usually appear in cluste",Dermatologist
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance""",General Physician
"""vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""I have a skin condition that causes dry, red, scaly patches on my skin. It can be itchy and painful",Dermatologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""I've been having a headache and chest pain all day, and I'm also feeling dizzy and unsteady on my feet.""",General Physician
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
Signs and symptoms of tongue-tie include: Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side Trouble sticking ou,General Physician
"""Symptoms of porphyria can vary widely in severity",General Physician
"""The signs and symptoms of celiac disease can vary greatly and differ in children and adults. Digestive signs and symptoms for adults include: Diarrh",General Physician
"""I have a really high fever, and I've been perspiring a lot. I've also been experiencing chills, vomiting",Gastroenterologist
"""vomiting,dehydration,diarrhoea""",Gastroenterologist
"""Bulimia signs and symptoms may include: Being preoccupied with your body shape and weight Living in fear of gaining weight Repeated episodes of eat",General Physician
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
I have a skin rash that gets worse in the winter when the air is dry. I have to moisturize more regularly and use humidifiers to keep my skin moisturi,Dermatologist
"""breathlessness,sweating,chest_pain""",General Physician
"""continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose",ENT
"""skin_rash,pus_filled_pimples,blackheads""",Dermatologist
"""I have a lot of pain in my legs, especially when I stand or walk for a long time. The skin on my calves is also swollen and red.""",Dermatologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""I'm always tired, my mouth tastes bad, and my throat itches. My muscles are hot and hurt, and sometimes my whole body cramps up.""",ENT
"""continuous_sneezing,chills,watering_from_eyes""",ENT
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""headache,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""Traveler's diarrhea may begin abruptly during your trip or shortly after you return home. Most people improve within 1 to 2 days without treatment an",Gastroenterologist
"""I have been experiencing muscle pain and headache. The muscle pain is like a constant ache that is worse when I try to use the affected muscles. I al",General Physician
"""vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""I've been having neck pain, and I've been feeling lightheaded and shaky. I also have a dry cough, and I'm not as strong as I used to be.""",General Physician
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""In the months or years leading up to menopause (perimenopause)",General Physician
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
I have difficulty breathing and shortness of breath. I cough uncontrollably and my eyes get itchy and swell up. I also get swelling on my face and oth,General Physician
"""stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain""",Gastroenterologist
"""vomiting,headache,nausea,loss_of_balance,unsteadiness""",Gastroenterologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""sunken_eyes,dehydration,diarrhoea""",General Physician
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""muscle_weakness,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""continuous_sneezing,shivering,watering_from_eyes""",ENT
I have a lot of heartburn and acid reflux. I also have a sore throat and bad breath. I throw up a lot.,ENT
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression",ENT
"""I'm dizzy, nauseated, and shaky. My throat is swollen, so I'm having trouble breathing. Sometimes, throughout the night",ENT
Serotonin syndrome symptoms usually occur within several hours of taking a new drug or increasing the dose of a drug you're already taking. Signs and,General Physician
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances""",Gastroenterologist
"""fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history""",Dermatologist
"""burning_micturition,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""Leukoplakia usually occurs on your gums, the insides of your cheeks, the bottom of your mouth — beneath the tongue — and, sometimes",General Physician
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""skin_rash,blackheads,scurring""",Dermatologist
"""continuous_sneezing,shivering,chills""",ENT
"""skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion",ENT
"""I'm always tired, my mouth tastes bad, and my throat itches. My muscles are hot and painful, and my whole body can cramp up sometimes.""",ENT
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Dermatologist
"""The main symptom of hyperhidrosis is heavy sweating. This goes beyond the sweating from being in a hot environment, exercising",General Physician
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""Many people with polycythemia vera don't have noticeable signs or symptoms. Some people might develop vague symptoms such as headache, dizziness",General Physician
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""Dementia symptoms vary depending on the cause, but common signs and symptoms include: Cognitive changes Memory loss",General Physician
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""           Contact dermatitis on the face       Open pop-up dialog box          Close     Contact dermatitis on the face  Contact dermatitis on the f",General Physician
I have a rash on my arms and neck that itches like crazy. I've been feeling really uncomfortable all day.,Dermatologist
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""back_pain,weakness_in_limbs,neck_pain,dizziness""",General Physician
"""The symptoms of a coma commonly include: Closed eyes. Depressed brainstem reflexes",Psychiatrist
"""Signs and symptoms of a ruptured spleen include: Pain in the upper left abdomen Tenderness when you touch the upper left abdomen Left shoulder pain",General Physician
"""I've had this cough for days, and it's really hard to breathe. I'm also really tired and weak",General Physician
"""The defining feature of preeclampsia is high blood pressure, proteinuria",General Physician
"""Signs and symptoms of frontotemporal dementia can be different from one individual to the next. Signs and symptoms get progressively worse over time",General Physician
"""yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""I've noticed a change in my monthly cycle and an unexpected vaginal discharge. I get irritable every now and again, and my moods swing a lot.""",Gynecologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""Chest pain is the most common symptom of pericarditis. It usually feels sharp or stabbing. However, some people have dull",General Physician
"""vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""headache,chest_pain,loss_of_balance,lack_of_concentration""",General Physician
"""muscle_wasting,patches_in_throat,extra_marital_contacts""",ENT
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""vomiting,dehydration,diarrhoea""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
I've been feeling really sick and I have a rash all over my body. I'm worried about what it could be.,Dermatologist
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""Egg allergy reactions vary from person to person and usually occur soon after exposure to egg. Egg allergy symptoms can include: Skin inflammation o",Dermatologist
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose",ENT
"""I have a rash on my skin that is red, raised, and filled with fluid. It is painful to touch and I have a fever.""",Dermatologist
"""Orchitis signs and symptoms usually develop suddenly and can include: Swelling in one or both testicles Pain ranging from mild to severe Fever Nause",General Physician
"""Most people with H. pylori infection will never have any signs or symptoms. It's not clear why many people don't have symptoms. But some people may b",General Physician
"""Many people with unicentric Castleman disease don't notice any signs or symptoms. The enlarged lymph node may be found during a physical exam or an i",General Physician
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,slurred_speech,irritability,palpitations""",Psychiatrist
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
I've been experiencing constipation and diarrhea. I also have a lack of appetite and energy.,Gastroenterologist
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""itching,skin_rash,stomach_pain,spotting__urination""",Gastroenterologist
"""skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""Babies with XLA generally appear healthy for the first few months because they're protected by the antibodies they got from their mothers before birt",General Physician
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""I have been having a headache, chest pain, dizziness, and trouble with my balance. It has also been hard for me to focus and concentrate.""",General Physician
I have been having headaches and migraines. I have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get l,Dermatologist
"""vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""Types of personality disorders are grouped into three clusters",General Physician
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
I have a lot of nausea and chest pain. My chest has been hurting for a while now. I shiver a lot and I'm really anxious.,General Physician
"""acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""The muscle weakness associated with polymyositis involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders",General Physician
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""I've been feeling really hot and sweaty, and I've been throwing up. I've also been having chills",General Physician
I have a metallic taste in my mouth and my sense of taste and smell has changed. I also get muscle and joint aches sometimes.,General Physician
"""Because retinoblastoma mostly affects infants and small children",General Physician
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""I have a constant sour taste in my mouth, even when I haven't eaten anything acidic. I also frequently have a lump in my throat and the hiccups.""",ENT
"""Lewy body dementia signs and symptoms can include: Visual hallucinations. Hallucinations — seeing things that aren't there — might be one of the fir",General Physician
I have a hard time concentrating and my emotions are all over the place. I feel like I'm in a fog and it's hard to do simple tasks.,General Physician
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""Wet macular degeneration symptoms usually appear suddenly and worsen quickly. They may include: Visual distortions",General Physician
"""vomiting,sunken_eyes,diarrhoea""",Gastroenterologist
"""fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",General Physician
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""Diphtheria signs and symptoms usually begin 2 to 5 days after a person becomes infected. Signs and symptoms may include: A thick",General Physician
"""itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise",Dermatologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""The thighbone (femur) is the strongest bone in the body. It is usually obvious when the thighbone is broken because it takes so much force to break.",General Physician
"""Diabetes symptoms depend on how high your blood sugar is. Some people, especially if they have prediabetes, gestational diabetes or type 2 diabetes",General Physician
"""I was walking and suddenly felt a headache, chest pain, and dizziness. I've been having trouble concentrating and focusing since then.""",General Physician
"""vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""Common signs and symptoms of head lice may include: Itching. The most common symptom of head lice is itching on the scalp",Dermatologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""vomiting,dehydration,diarrhoea""",Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",General Physician
"""stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain""",Gastroenterologist
"""I have been having headaches for a while now. They are very painful and make me feel sick. I also have nausea, vomiting",Gastroenterologist
I have rashes and skin irritations especially in the folds of my skin. My cuts and bruises don't heal very quickly either.,Dermatologist
I have blood in my urine and sometimes get nauseous when I pee. I also have a bad smell in my urine and sometimes get high temperatures at night. I'm,General Physician
Elevated blood pressure doesn't cause symptoms. The only way to detect it is to have regular blood pressure checks. Have your blood pressure measured,General Physician
"""Signs and symptoms of dumping syndrome generally occur within minutes after eating",General Physician
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot",General Physician
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Dermatologist
"""I've been experiencing a lot of pain in my joints",General Physician
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine""",Gastroenterologist
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""Vertebral tumors can cause different signs and symptoms, especially as tumors grow. The tumors may affect your spinal cord or the nerve roots",General Physician
"""itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion",Dermatologist
"""acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object",General Physician
I have been having a lot of pain in my back and neck. I have also been coughing a lot and I feel weak. I have been dizzy and I have trouble standing u,General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain",Gastroenterologist
"""Muscle weakness caused by myasthenia gravis worsens as the affected muscle is used. Because symptoms usually improve with rest",General Physician
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""I have been having back pain, a chronic cough, and weakness in my limbs. I have also been feeling disoriented and weak on my feet",Orthopedic
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""Inguinal hernia signs and symptoms include: A bulge in the area on either side of your pubic bone, which becomes more obvious when you're upright",General Physician
"""vomiting,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""Schizoaffective disorder symptoms may vary from person to person. People with the condition experience psychotic symptoms",General Physician
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
I have small dents in my nails and they are often inflamed and tender to the touch. I also have minor rashes on my arms.,Dermatologist
I have a really bad sore throat and I feel tired all the time. I also get feverish and often have muscle aches. Sometimes my whole body just cramps up,ENT
"""chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""fatigue,cough,high_fever,family_history,mucoid_sputum""",General Physician
"""vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""Signs and symptoms of a tooth abscess include: Severe, constant, throbbing toothache that can spread to your jawbone",General Physician
I have a sharp pain in my stomach. I have also been vomiting a lot and feel very nauseous.,Gastroenterologist
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""Vitiligo signs include: Patchy loss of skin color, which usually first appears on the hands, face",Dermatologist
"""For most people with pseudocholinesterase deficiency",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body""",Gastroenterologist
"""muscle_wasting,high_fever,extra_marital_contacts""",General Physician
"""I've been having headaches and blurry vision, and I've also been getting acid reflux and indigestion after I eat.""",General Physician
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""If you've torn your meniscus, it might take 24 hours or more for pain and swelling to begin",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""burning_micturition,bladder_discomfort,continuous_feel_of_urine""",General Physician
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
I have been having intense itching all over my body. I have also been vomiting and feeling very tired. I have lost a lot of weight and have a high fev,Gastroenterologist
